text,label,label_encoded
I've been revising but my mind keeps wandering and I can't focus properly.,Moderate,1
I feel tense but not overwhelmed. I just want it to be over.,Moderate,1
I feel like I'm going to fail no matter what I do. The pressure is crushing me.,High,2
I can't stop panicking. My mind goes blank every time I try to study.,High,2
I feel completely prepared for my exam tomorrow. I studied well and I'm confident I'll do great.,Low,0
The fear of disappointing my parents is making my anxiety unbearable.,High,2
I did my best to prepare but there's always that what-if feeling nagging me.,Moderate,1
My hands are shaking and I feel nauseous just thinking about the test.,High,2
I feel a positive energy about the exam. Good vibes only!,Low,0
I feel isolated because everyone else seems fine and I'm falling apart inside.,High,2
I want to do well so badly that the pressure is getting to me a little.,Moderate,1
I've been having chest pains from anxiety. I don't know how to calm down.,High,2
I feel a moderate level of anxiety. It's not crippling but it's there.,Moderate,1
I'm having nightmares about the exam. I wake up drenched in sweat.,High,2
I'm somewhat anxious about the exam format. I hope there are no surprises.,Moderate,1
I had a full breakdown today. I threw my books across the room in frustration.,High,2
"I had a good breakfast, revised my weak areas, and I'm ready to go.",Low,0
Feeling optimistic. The syllabus is well covered and I have no gaps.,Low,0
I'm ready for the test. I studied consistently throughout the semester.,Low,0
I feel completely overwhelmed. The syllabus is too vast and I can't cope.,High,2
I'm stressed about the exam but I'm using breathing exercises to calm down.,Moderate,1
I feel like the exam will be the end of me. I've never been this stressed in my life.,High,2
I keep switching between feeling ready and feeling unprepared. It's confusing.,Moderate,1
I feel relaxed about the upcoming test. I know the material inside out.,Low,0
I feel like my entire future depends on this exam and it's destroying me mentally.,High,2
I prepared but I keep second-guessing whether I covered enough material.,Moderate,1
Exams are a normal part of life. I've prepared and I'll do my best.,Low,0
"I'm shaking, crying, and I can't breathe. I've never felt this scared before.",High,2
I wish I had started studying earlier. Now I'm a bit behind.,Moderate,1
I studied with focus and discipline. I'm ready for whatever comes.,Low,0
I feel trapped in a cycle of panic and helplessness. I don't see a way out.,High,2
I'm heading into the exam with a clear mind and a solid plan.,Low,0
I can't eat or sleep. The exam has taken over my entire life and I'm breaking down.,High,2
I feel okay-ish. Not fully confident but not panicking either.,Moderate,1
I couldn't sleep well last night because I kept thinking about the exam.,Moderate,1
I feel balanced and prepared. No last-minute cramming needed.,Low,0
I've been studying but I feel like time ran out before I could finish everything.,Moderate,1
I feel completely alone in this. Everyone expects me to be fine but I'm not.,High,2
I have no fear about the exam. I prepared systematically and thoroughly.,Low,0
My study group sessions really helped. I feel solid about every topic.,Low,0
I feel emotionally and physically drained. The exam stress has destroyed me.,High,2
I'm questioning my intelligence and self-worth because of this exam.,High,2
I'm constantly on edge. Every small noise startles me while I'm trying to study.,High,2
I haven't slept in two days because of exam anxiety. I can't think straight.,High,2
My heart beats a little faster when I think about tomorrow's exam.,Moderate,1
I feel physically sick from the stress. My head is pounding and my chest is tight.,High,2
I feel comfortable with the topics and I think the exam will go smoothly.,Low,0
I don't even recognize myself anymore. The anxiety has changed me completely.,High,2
I practiced some questions but I'm worried the actual exam will be harder.,Moderate,1
"I feel hopeless. No matter how much I study, it doesn't feel like enough.",High,2
I'm terrified about the exam. I feel like I haven't prepared at all.,High,2
I keep telling myself I'll fail. The negative thoughts won't stop.,High,2
"My notes are clean, my mind is clear, and I'm confident about the test.",Low,0
I think I'll manage but I'm not as confident as I'd like to be.,Moderate,1
Some of my friends seem so confident and it makes me doubt my own preparation.,Moderate,1
I'm cautiously optimistic but the anxiety keeps creeping in at odd moments.,Moderate,1
I'm nervous about the difficulty level. I hope it's fair and not too tricky.,Moderate,1
I'm dreading the essay questions. I hope I can express my ideas clearly.,Moderate,1
The exam is manageable. I broke down the syllabus and tackled each topic.,Low,0
I feel like I'm drowning in pressure. Nobody understands how bad it is.,High,2
I want to disappear. The pressure from exams is making me feel worthless.,High,2
I revised most topics but there are gaps that worry me a little.,Moderate,1
I'm worried I'll mix up concepts during the exam. It happened before.,Moderate,1
